Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
B,Training,119,Kate stung the buffalo with the pin,stung,buffalo,pin,buffalotennisracket,Sentence,2,Inst,11,katebuffalopin_nopauses.mp3,katebuffalopininstleft2_context.png,katebuffalopinmodright2_context.png,katebuffalopinmodright2_context.png,katebuffalopininstleft2_context.png,2,mod,inst,R,L,418,2926,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffalopinmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffalopininstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katebuffalopin_nopauses.mp3?raw=true,0.000324589
B,Training,119,Which toy did Kate sting?,stung,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoykatesting.mp3,buffalopin.png,buffalocoloredpencil.png,buffalopin.png,buffalocoloredpencil.png,1,congruent,incongruent,NA,NA,1,2322,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/buffalopin.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/buffalocoloredpencil.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoykatesting.mp3?raw=true,0.000324589
B,Training,82,Tom jabbed the gorilla with the sack,jabbed,gorilla,sack,gorillamallet,Sentence,2,Inst,10,tomgorillasack_nopauses.mp3,tomgorillasackinstleft2_context.png,tomgorillasackmodright2_context.png,tomgorillasackmodright2_context.png,tomgorillasackinstleft2_context.png,2,mod,inst,R,L,685,3112,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgorillasackmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgorillasackinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomgorillasack_nopauses.mp3?raw=true,0.002803849
B,Training,82,Which toy did Tom jab?,jabbed,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoytomjab.mp3,gorillasack.png,gorillatongs.png,gorillatongs.png,gorillasack.png,2,incongruent,congruent,NA,NA,1,2322,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/gorillatongs.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/gorillasack.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoytomjab.mp3?raw=true,0.002803849
B,Training,31,Kate knocked on the pig with the watering can,knocked on,pig,watering can,pigmallet,Sentence,2,Inst,7,katepigwateringcan_nopauses.mp3,katepigwateringcaninstright2_context.png,katepigwateringcanmodleft2_context.png,katepigwateringcaninstright2_context.png,katepigwateringcanmodleft2_context.png,1,inst,mod,L,R,592,3878,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigwateringcaninstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigwateringcanmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katepigwateringcan_nopauses.mp3?raw=true,0.002819817
B,Training,31,Which toy did Kate knock on?,knocked on,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoykateknockon.mp3,pigwateringcan.png,pigpan.png,pigwateringcan.png,pigpan.png,1,congruent,incongruent,NA,NA,1,2055,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/pigwateringcan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/pigpan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoykateknockon.mp3?raw=true,0.002819817
B,Training,35,Kate knocked on the buffalo with the watering can,knocked on,buffalo,watering can,buffalomallet,Sentence,2,Inst,11,katebuffalowateringcan_nopauses.mp3,katebuffalowateringcaninstright2_context.png,katebuffalowateringcanmodleft2_context.png,katebuffalowateringcaninstright2_context.png,katebuffalowateringcanmodleft2_context.png,1,inst,mod,L,R,418,3976,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffalowateringcaninstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katebuffalowateringcanmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katebuffalowateringcan_nopauses.mp3?raw=true,0.003883418
B,Training,35,Which toy did Kate knock on?,knocked on,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoykateknockon.mp3,buffalowateringcan.png,buffalopan.png,buffalowateringcan.png,buffalopan.png,1,congruent,incongruent,NA,NA,1,2055,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/buffalowateringcan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/buffalopan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoykateknockon.mp3?raw=true,0.003883418
B,Training,44,Tom hammered the girl with the tape,hammered,girl,tape,girltennisracket,Sentence,2,Inst,8,tomgirltape_nopauses.mp3,tomgirltapeinstright2_context.png,tomgirltapemodleft2_context.png,tomgirltapeinstright2_context.png,tomgirltapemodleft2_context.png,1,inst,mod,L,R,572,2732,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirltapeinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirltapemodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomgirltape_nopauses.mp3?raw=true,0.008884823
B,Training,44,Which toy did Tom hammer?,hammered,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoytomhammer.mp3,girltape.png,girlstickynote.png,girltape.png,girlstickynote.png,1,congruent,incongruent,NA,NA,1,1974,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/girltape.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/girlstickynote.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoytomhammer.mp3?raw=true,0.008884823
