Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
A,Pre,113,Tom stung the frog with the cactus,stung,frog,cactus,frogtennisracket,Sentence,1,Inst,,tomfrogcactus_nopauses.mp3,tomfrogcactusinstright_context.png,tomfrogcactusmodleft_context.png,tomfrogcactusinstright_context.png,tomfrogcactusmodleft_context.png,1,inst,mod,L,R,624,3468,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfrogcactusinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomfrogcactusmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomfrogcactus_nopauses.mp3?raw=true,0.002709644
A,Pre,80,Kate jabbed the girl with the stick of celery,jabbed,girl,stick of celery,girlladle,Sentence,1,Inst,,kategirlcelery_nopauses.mp3,kategirlceleryinstright_context.png,kategirlcelerymodleft_context.png,kategirlceleryinstright_context.png,kategirlcelerymodleft_context.png,1,inst,mod,L,R,487,3394,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategirlceleryinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kategirlcelerymodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kategirlcelery_nopauses.mp3?raw=true,0.017824872
A,Pre,103,Tom crushed the pig with the flower,crushed,pig,flower,pigladle,Sentence,1,Inst,,tompigflower_nopauses.mp3,tompigflowerinstleft_context.png,tompigflowermodright_context.png,tompigflowermodright_context.png,tompigflowerinstleft_context.png,2,mod,inst,R,L,576,3019,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tompigflowermodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tompigflowerinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tompigflower_nopauses.mp3?raw=true,0.025012072
A,Pre,95,Tom rubbed the buffalo with the soap,rubbed,buffalo,soap,buffalooar,Sentence,1,Inst,,tombuffalosoap_nopauses.mp3,tombuffalosoapinstright_context.png,tombuffalosoapmodleft_context.png,tombuffalosoapinstright_context.png,tombuffalosoapmodleft_context.png,1,inst,mod,L,R,563,2963,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalosoapinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tombuffalosoapmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tombuffalosoap_nopauses.mp3?raw=true,0.02906933
A,Pre,133,Tom smashed the dolphin with the flower pot,smashed,dolphin,flower pot,dolphintennisracket,Sentence,1,Inst,,tomdolphinflowerpot_nopauses.mp3,tomdolphinflowerpotinstright_context.png,tomdolphinflowerpotmodleft_context.png,tomdolphinflowerpotinstright_context.png,tomdolphinflowerpotmodleft_context.png,1,inst,mod,L,R,566,3343,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinflowerpotinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomdolphinflowerpotmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomdolphinflowerpot_nopauses.mp3?raw=true,0.029496503
A,Pre,110,Kate stung the cow with the cactus,stung,cow,cactus,cowtennisracket,Sentence,1,Inst,,katecowcactus_nopauses.mp3,katecowcactusinstleft_context.png,katecowcactusmodright_context.png,katecowcactusmodright_context.png,katecowcactusinstleft_context.png,2,mod,inst,R,L,376,3203,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katecowcactusmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/katecowcactusinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/katecowcactus_nopauses.mp3?raw=true,0.060136627
A,Pre,117,Tom stung the whale with the lightning bolt,stung,whale,lightning bolt,whaleoar,Sentence,1,Inst,,tomwhalelightningbolt_nopauses.mp3,tomwhalelightningboltinstright_context.png,tomwhalelightningboltmodleft_context.png,tomwhalelightningboltinstright_context.png,tomwhalelightningboltmodleft_context.png,1,inst,mod,L,R,660,3554,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhalelightningboltinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhalelightningboltmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomwhalelightningbolt_nopauses.mp3?raw=true,0.074827965
A,Pre,102,Kate crushed the turtle with the pear,crushed,turtle,pear,turtlemallet,Sentence,1,Inst,,kateturtlepear_nopauses.mp3,kateturtlepearinstright_context.png,kateturtlepearmodleft_context.png,kateturtlepearinstright_context.png,kateturtlepearmodleft_context.png,1,inst,mod,L,R,369,2982,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlepearinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlepearmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kateturtlepear_nopauses.mp3?raw=true,0.078912692
A,Pre,69,Tom scratched the whale with the coral,scratched,whale,coral,whaleoar,Sentence,1,Inst,,tomwhalecoral_nopauses.mp3,tomwhalecoralinstright_context.png,tomwhalecoralmodleft_context.png,tomwhalecoralinstright_context.png,tomwhalecoralmodleft_context.png,1,inst,mod,L,R,562,3097,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhalecoralinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/tomwhalecoralmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/tomwhalecoral_nopauses.mp3?raw=true,0.085473415
A,Pre,42,Kate hammered the turtle with the horseshoe,hammered,turtle,horseshoe,turtletennisracket,Sentence,1,Inst,,kateturtlehorseshoe_nopauses.mp3,kateturtlehorseshoeinstleft_context.png,kateturtlehorseshoemodright_context.png,kateturtlehorseshoemodright_context.png,kateturtlehorseshoeinstleft_context.png,2,mod,inst,R,L,453,3023,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlehorseshoemodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_pre/kateturtlehorseshoeinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_pre/kateturtlehorseshoe_nopauses.mp3?raw=true,0.096336028
