TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
1,Pre,63,Tom inspected the fox with the telescope,inspected,fox,telescope,Sentence,1,ModControl,tomfoxtelescope_nopauses.mp3,tomfoxtelescopemodleft.png,tomfoxtelescopeinstright.png,tomfoxtelescopeinstright.png,tomfoxtelescopemodleft.png,2,inst,mod,L,R,505,2934,0.011673284,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxtelescopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxtelescopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomfoxtelescope_nopauses.mp3?raw=true
2,Pre,45,Tom chose the whale with the baseball bat,chose,whale,baseball bat,Sentence,1,ModControl,tomwhalebaseballbat_nopauses.mp3,tomwhalebaseballbatmodleft.png,tomwhalebaseballbatinstright.png,tomwhalebaseballbatinstright.png,tomwhalebaseballbatmodleft.png,2,inst,mod,L,R,510,2778,0.011720807,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomwhalebaseballbatinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomwhalebaseballbatmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomwhalebaseballbat_nopauses.mp3?raw=true
3,Pre,18,Kate felt the turtle with the brush,felt,turtle,brush,Sentence,1,ModControl,kateturtlebrush_nopauses.mp3,kateturtlebrushmodright.png,kateturtlebrushinstleft.png,kateturtlebrushmodright.png,kateturtlebrushinstleft.png,1,mod,inst,R,L,353,2309,0.020206698,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtlebrushmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtlebrushinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kateturtlebrush_nopauses.mp3?raw=true
4,Pre,72,Kate inspected the hawk with the microscope,inspected,hawk,microscope,Sentence,1,ModControl,katehawkmicroscope_nopauses.mp3,katehawkmicroscopemodright.png,katehawkmicroscopeinstleft.png,katehawkmicroscopemodright.png,katehawkmicroscopeinstleft.png,1,mod,inst,R,L,331,2865,0.035425869,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkmicroscopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkmicroscopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katehawkmicroscope_nopauses.mp3?raw=true
5,Pre,31,Tom moved the pig with the pitchfork,moved,pig,pitchfork,Sentence,1,ModControl,tompigpitchfork_nopauses.mp3,tompigpitchforkmodright.png,tompigpitchforkinstleft.png,tompigpitchforkmodright.png,tompigpitchforkinstleft.png,1,mod,inst,R,L,474,2825,0.042316209,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigpitchforkmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigpitchforkinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tompigpitchfork_nopauses.mp3?raw=true
6,Pre,19,Tom felt the pig with the cloth,felt,pig,cloth,Sentence,1,ModControl,tompigcloth_nopauses.mp3,tompigclothmodleft.png,tompigclothinstright.png,tompigclothinstright.png,tompigclothmodleft.png,2,inst,mod,L,R,448,2273,0.10499255,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigclothinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigclothmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tompigcloth_nopauses.mp3?raw=true
7,Pre,21,Tom felt the whale with the cloth,felt,whale,cloth,Sentence,1,ModControl,tomwhalecloth_nopauses.mp3,tomwhaleclothmodleft.png,tomwhaleclothinstright.png,tomwhaleclothinstright.png,tomwhaleclothmodleft.png,2,inst,mod,L,R,500,2327,0.107812705,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomwhaleclothinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomwhaleclothmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomwhalecloth_nopauses.mp3?raw=true
8,Pre,22,Kate felt the gorilla with the cloth,felt,gorilla,cloth,Sentence,1,ModControl,kategorillacloth_nopauses.mp3,kategorillaclothmodright.png,kategorillaclothinstleft.png,kategorillaclothmodright.png,kategorillaclothinstleft.png,1,mod,inst,R,L,441,2417,0.1133802,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategorillaclothmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategorillaclothinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kategorillacloth_nopauses.mp3?raw=true
9,Pre,13,Tom felt the dolphin with the brush,felt,dolphin,brush,Sentence,1,ModControl,tomdolphinbrush_nopauses.mp3,tomdolphinbrushmodleft.png,tomdolphinbrushinstright.png,tomdolphinbrushinstright.png,tomdolphinbrushmodleft.png,2,inst,mod,L,R,462,2387,0.121703288,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomdolphinbrushinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomdolphinbrushmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomdolphinbrush_nopauses.mp3?raw=true
10,Pre,51,Tom glanced at the fox with the glass,glanced,fox,glass,Sentence,1,ModControl,tomfoxglass_nopauses.mp3,tomfoxglassmodright.png,tomfoxglassinstleft.png,tomfoxglassmodright.png,tomfoxglassinstleft.png,1,mod,inst,R,L,548,2550,0.129789486,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomfoxglass_nopauses.mp3?raw=true
