Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
B,Post,137,Tom smashed the frog with the flower pot,smashed,frog,flower pot,frogoar,Sentence,2,Inst,tomfrogflowerpot_nopauses.mp3,tomfrogflowerpotinstright2_context.png,tomfrogflowerpotmodleft2_context.png,tomfrogflowerpotinstright2_context.png,tomfrogflowerpotmodleft2_context.png,1,inst,mod,L,R,600,3458,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomfrogflowerpotinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomfrogflowerpotmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/tomfrogflowerpot_nopauses.mp3?raw=true,0.024621273
B,Post,21,Tom hit the whale with the oven mitt,hit,whale,oven mitt,whaletennisracket,Sentence,2,Inst,tomwhaleovenmitt_nopauses.mp3,tomwhaleovenmittinstright2_context.png,tomwhaleovenmittmodleft2_context.png,tomwhaleovenmittinstright2_context.png,tomwhaleovenmittmodleft2_context.png,1,inst,mod,L,R,568,2458,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomwhaleovenmittinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomwhaleovenmittmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/tomwhaleovenmitt_nopauses.mp3?raw=true,0.025475909
B,Post,33,Tom knocked on the whale with the tomato,knocked on,whale,tomato,whalemallet,Sentence,2,Inst,tomwhaletomato_nopauses.mp3,tomwhaletomatoinstleft2_context.png,tomwhaletomatomodright2_context.png,tomwhaletomatomodright2_context.png,tomwhaletomatoinstleft2_context.png,2,mod,inst,R,L,548,3030,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomwhaletomatomodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomwhaletomatoinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/tomwhaletomato_nopauses.mp3?raw=true,0.02741927
B,Post,89,Tom rubbed the frog with the eraser,rubbed,frog,eraser,frogoar,Sentence,2,Inst,tomfrogeraser_nopauses.mp3,tomfrogeraserinstright2_context.png,tomfrogerasermodleft2_context.png,tomfrogeraserinstright2_context.png,tomfrogerasermodleft2_context.png,1,inst,mod,L,R,461,3187,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomfrogeraserinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomfrogerasermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/tomfrogeraser_nopauses.mp3?raw=true,0.028736316
B,Post,6,Kate covered the turtle with the water,covered,turtle,water,turtleladle,Sentence,2,Inst,kateturtlewater_nopauses.mp3,kateturtlewaterinstright2_context.png,kateturtlewatermodleft2_context.png,kateturtlewaterinstright2_context.png,kateturtlewatermodleft2_context.png,1,inst,mod,L,R,461,2842,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/kateturtlewaterinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/kateturtlewatermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/kateturtlewater_nopauses.mp3?raw=true,0.041847006
B,Post,63,Tom scratched the fox with the sandpaper,scratched,fox,sandpaper,foxoar,Sentence,2,Inst,tomfoxsandpaper_nopauses.mp3,tomfoxsandpaperinstright2_context.png,tomfoxsandpapermodleft2_context.png,tomfoxsandpaperinstright2_context.png,tomfoxsandpapermodleft2_context.png,1,inst,mod,L,R,557,3518,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomfoxsandpaperinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomfoxsandpapermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/tomfoxsandpaper_nopauses.mp3?raw=true,0.043775494
B,Post,3,Tom covered the fox with the water,covered,fox,water,foxladle,Sentence,2,Inst,tomfoxwater_nopauses.mp3,tomfoxwaterinstleft2_context.png,tomfoxwatermodright2_context.png,tomfoxwatermodright2_context.png,tomfoxwaterinstleft2_context.png,2,mod,inst,R,L,589,2751,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomfoxwatermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomfoxwaterinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/tomfoxwater_nopauses.mp3?raw=true,0.067020931
B,Post,107,Tom crushed the buffalo with the flower,crushed,buffalo,flower,buffalomallet,Sentence,2,Inst,tombuffaloflower_nopauses.mp3,tombuffaloflowerinstleft2_context.png,tombuffaloflowermodright2_context.png,tombuffaloflowermodright2_context.png,tombuffaloflowerinstleft2_context.png,2,mod,inst,R,L,597,3221,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tombuffaloflowermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tombuffaloflowerinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/tombuffaloflower_nopauses.mp3?raw=true,0.072758919
B,Post,93,Tom rubbed the whale with the soap,rubbed,whale,soap,whaletennisracket,Sentence,2,Inst,tomwhalesoap_nopauses.mp3,tomwhalesoapinstright2_context.png,tomwhalesoapmodleft2_context.png,tomwhalesoapinstright2_context.png,tomwhalesoapmodleft2_context.png,1,inst,mod,L,R,550,2683,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomwhalesoapinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/tomwhalesoapmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/tomwhalesoap_nopauses.mp3?raw=true,0.080463524
B,Post,4,Kate covered the lion with the water,covered,lion,water,lionladle,Sentence,2,Inst,katelionwater_nopauses.mp3,katelionwaterinstright2_context.png,katelionwatermodleft2_context.png,katelionwaterinstright2_context.png,katelionwatermodleft2_context.png,1,inst,mod,L,R,430,2637,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/katelionwaterinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_post/katelionwatermodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_post/katelionwater_nopauses.mp3?raw=true,0.10460332
